B2X0	('Income', 'Tax', 'Cash', 'Products', 'Data', 'Accelerated Computing', 'Data Center', 'Non-GAAP')
B441X1	('Directors',)
B447X1	('Stock', 'Year 2022', 'Directors')
B452X1	('Directors',)
B453X1	('Directors', 'Management')
B457X1	('Management',)
B459X1	('Stock', 'Directors')
B464X1	('Management',)
B481X1	('Management',)
B484X1	('Products', 'Directors', 'Accelerated Computing')
B488X1	('Management',)
B495X1	('Directors',)
B503X1	('Management',)
B506X1	('Stock', 'Directors', 'Data', 'Management')
B510X1	('Management',)
B512X1	('Management',)
B514X1	('Directors', 'Management')
B519X1	('Management',)
B522X1	('Directors',)
B526X1	('Management',)
B528X1	('Directors',)
B533X1	('Management',)
B538X1	('Stock', 'Directors', 'Data', 'Management')
B544X1	('Management',)
B549X1	('Data',)
B553X1	('Management',)
B555X1	('Stock',)
B563X1	('Directors',)
B564X1	('Stock', 'Revenue', 'Directors', 'Management')
B566X1	('Directors', 'Management')
B567X1	('Management',)
B568X1	('Year 2023', 'Directors', 'Management')
B570X1	('Stock', 'Year 2022', 'Year 2023', 'Cash', 'Directors', 'Equity', 'Management', 'Common Stock')
B572X1	('Stock', 'Directors', 'Management')
B574X1	('Stock', 'Year 2022', 'Directors')
B576X1	('Year 2022', 'Tax', 'Cash')
B582X1	('Management', 'Financial Statements')
B583X1	('Financial Statements',)
B587X1	('Year 2022', 'Equity', 'Management')
B591X1	('Management',)
B593X1	('Stock',)
B594X1	('Management',)
B597X1	('Stock', 'Year 2022')
B598X1	('Directors',)
B610X1	('Year 2022', 'Products', 'Data', 'Management', 'Data Center')
B612X1	('Management', 'Assests')
B614X1	('Stock', 'Year 2022', 'Equity', 'Management')
B619X1	('Year 2022',)
B625X1	('Stock', 'Management')
B628X1	('Cash', 'Equity')
B629X1	('Directors',)
B630X1	('Stock', 'Tax', 'Cash', 'Directors', 'Equity', 'Common Stock')
B631X1	('Revenue',)
B632X1	('Stock', 'Year 2022', 'Directors', 'Equity')
B634X1	('Year 2022',)
B635X1	('Cash',)
B637X1	('Stock',)
B688X1	('Cash',)
B690X1	('Stock', 'Year 2022', 'Financial Statements')
B691X1	('Stock', 'Directors')
B720X1	('Year 2022', 'Directors', 'Equity')
B722X1	('Management',)
B723X1	('Stock', 'Directors', 'Common Stock', 'Securities')
B752X1	('Directors',)
B819X1	('Directors',)
B825X1	('Stock',)
B838X1	('Stock', 'Common Stock')
B840X1	('Stock', 'Common Stock')
B841X1	('Stock', 'Common Stock')
B842X1	('Stock', 'Common Stock')
B847X1	('Stock', 'Common Stock')
B849X1	('Stock', 'Common Stock')
B851X1	('Stock', 'Common Stock')
B853X1	('Stock', 'Common Stock')
B854X1	('Stock', 'Common Stock')
B857X1	('Stock', 'Common Stock')
B859X1	('Stock', 'Common Stock')
B861X1	('Stock', 'Common Stock')
B864X1	('Stock', 'Common Stock')
B866X1	('Stock', 'Common Stock')
B868X1	('Stock', 'Common Stock')
B871X1	('Directors',)
B881X1	('Stock', 'Year 2022', 'Management')
B883X1	('Year 2022',)
B886X1	('Year 2022',)
B888X1	('Stock', 'Year 2022', 'Products', 'Revenue', 'Data', 'Data Center')
B890X1	('Cash',)
B892X1	('Equity',)
B893X1	('Income', 'Revenue', 'Non-GAAP')
B896X1	('Cash', 'Revenue')
B897X1	('Income', 'Cash', 'Non-GAAP')
B898X1	('Cash',)
B899X1	('Equity',)
B900X1	('Equity',)
B901X1	('Stock', 'Year 2022', 'Income', 'Revenue', 'Non-GAAP')
B902X1	('Cash', 'Equity')
B904X1	('Stock',)
B907X1	('Stock', 'Year 2022', 'Tax', 'Cash', 'Directors', 'Equity')
B910X1	('Stock', 'Year 2022', 'Management')
B911X1	('Stock', 'Year 2022', 'Cash', 'Revenue', 'Data', 'Equity', 'Management')
B913X1	('Year 2022', 'Revenue', 'Data', 'Management')
B915X1	('Year 2022', 'Revenue')
B919X1	('Data',)
B920X1	('Data',)
B923X1	('Stock', 'Data', 'Equity')
B926X1	('Stock', 'Financial Statements')
B928X1	('Stock', 'Year 2022')
B929X1	('Cash',)
B931X1	('Income', 'Cash', 'Revenue', 'Equity', 'Non-GAAP')
B943X1	('Stock', 'Common Stock')
B945X1	('Cash',)
B947X1	('Stock',)
B949X1	('Stock',)
B951X1	('Stock',)
B953X1	('Stock',)
B955X1	('Cash', 'Equity')
B957X1	('Stock', 'Year 2022', 'Income', 'Revenue', 'Management', 'Common Stock', 'Non-GAAP')
B960X1	('Management',)
B961X1	('Stock', 'Year 2022', 'Year 2023', 'Cash', 'Equity')
B963X1	('Stock', 'Year 2022', 'Income', 'Equity', 'Non-GAAP')
B964X1	('Stock', 'Common Stock')
B965X1	('Stock', 'Year 2022', 'Income', 'Equity', 'Non-GAAP')
B967X1	('Year 2022',)
B968X1	('Income', 'Cash', 'Revenue', 'Non-GAAP')
B970X1	('Stock', 'Year 2022', 'Income', 'Cash', 'Revenue', 'Management', 'Non-GAAP')
B972X1	('Year 2022', 'Income', 'Non-GAAP')
B974X1	('Year 2022',)
B986X1	('Cash',)
B988X1	('Revenue',)
B990X1	('Income', 'Non-GAAP')
B1002X1	('Year 2022',)
B1004X1	('Year 2022',)
B1010X1	('Stock', 'Income', 'Revenue', 'Non-GAAP')
B1014X1	('Revenue',)
B1015X1	('Year 2022', 'Cash', 'Equity', 'Management')
B1016X1	('Year 2022',)
B1020X1	('Cash',)
B1022X1	('Equity',)
B1030X1	('Year 2022',)
B1034X1	('Cash',)
B1036X1	('Equity',)
B1046X1	('Year 2022',)
B1052X1	('Cash',)
B1054X1	('Equity',)
B1066X1	('Year 2022',)
B1070X1	('Cash',)
B1072X1	('Equity',)
B1082X1	('Year 2022',)
B1088X1	('Cash',)
B1090X1	('Equity',)
B1101X1	('Year 2022', 'Revenue')
B1103X1	('Stock', 'Equity', 'Common Stock')
B1105X1	('Stock', 'Directors', 'Equity', 'Common Stock', 'Securities', 'Financial Statements')
B1106X1	('Tax',)
B1107X1	('Stock', 'Year 2022', 'Tax', 'Cash', 'Revenue', 'Directors', 'Equity', 'Management', 'Financial Statements')
B1113X1	('Cash',)
B1115X1	('Cash',)
B1117X1	('Cash',)
B1123X1	('Equity',)
B1125X1	('Stock',)
B1127X1	('Stock', 'Common Stock')
B1129X1	('Year 2022',)
B1130X1	('Stock',)
B1132X1	('Equity',)
B1282X1	('Stock', 'Year 2022', 'Financial Statements')
B1284X1	('Stock',)
B1286X1	('Stock',)
B1288X1	('Year 2022', 'Cash')
B1290X1	('Year 2022', 'Income')
B1292X1	('Year 2022', 'Income')
B1293X1	('Income',)
B1295X1	('Year 2022', 'Income')
B1297X1	('Stock', 'Year 2022')
B1298X1	('Equity',)
B1300X1	('Stock', 'Equity')
B1320X1	('Cash',)
B1342X1	('Cash',)
B1368X1	('Cash',)
B1392X1	('Cash',)
B1416X1	('Cash',)
B1422X1	('Year 2022', 'Cash')
B1424X1	('Stock', 'Financial Statements')
B1428X1	('Year 2022',)
B1434X1	('Equity',)
B1435X1	('Stock', 'Securities')
B1437X1	('Stock',)
B1439X1	('Equity',)
B1804X1	('Stock', 'Common Stock')
B1806X1	('Stock', 'Year 2022', 'Common Stock')
B1842X1	('Stock', 'Year 2022')
B1843X1	('Stock',)
B1877X1	('Tax',)
B1879X1	('Stock', 'Common Stock')
B1881X1	('Tax',)
B1883X1	('Tax',)
B1885X1	('Tax',)
B1887X1	('Tax',)
B1889X1	('Tax',)
B1890X1	('Stock',)
B1892X1	('Stock', 'Common Stock')
B1908X1	('Stock', 'Year 2022', 'Common Stock')
B1928X1	('Year 2022',)
B1932X1	('Stock', 'Year 2022', 'Cash', 'Equity')
B1934X1	('Year 2022',)
B1936X1	('Directors', 'Management')
B1938X1	('Year 2023',)
B1939X1	('Stock', 'Year 2023', 'Financial Statements')
B1941X1	('Year 2022', 'Tax')
B1949X1	('Tax',)
B1964X1	('Financial Statements',)
B1968X1	('Tax',)
B1970X1	('Products',)
B1971X1	('Year 2022', 'Tax')
B1973X1	('Directors',)
B1974X1	('Year 2022', 'Directors', 'Management', 'Securities', 'Financial Statements')
B1978X1	('Stock', 'Common Stock')
B1979X1	('Stock', 'Common Stock')
B1980X1	('Stock',)
B1981X1	('Stock', 'Common Stock')
B1983X1	('Stock', 'Common Stock')
